age,female,tenure,education,worker_type,occupation,wage,logwage,promoted
46,0,19,High School,White Collar,Teacher,52164,10.862147880776792,0
38,1,16,Some College,Blue Collar,Manufacturing Worker,29141,10.279901396250288,0
48,1,25,Bachelor's,Blue Collar,Manufacturing Worker,51967,10.85836418072537,0
58,0,36,Bachelor's,Blue Collar,Plumber,50973,10.839051359753869,0
37,0,15,PhD,Blue Collar,Construction Worker,91376,11.422738140904643,0
37,0,13,Some College,Blue Collar,Welder,34342,10.444124373873748,1
59,0,37,Bachelor's,White Collar,Programmer,106043,11.571599951213637,1
49,0,21,Some College,Blue Collar,Welder,58631,10.979018845927424,0
34,1,12,Some College,White Collar,Teacher,51241,10.84429527182336,0
47,1,25,Master's,Blue Collar,Manufacturing Worker,66289,11.101779249890095,0
34,1,12,Bachelor's,Blue Collar,Manufacturing Worker,68314,11.131870002591821,0
34,0,12,Master's,White Collar,Analyst,84968,11.350029994001375,1
43,1,21,High School,White Collar,Engineer,66742,11.108589718892622,0
22,1,0,Master's,Blue Collar,Mechanic,84989,11.350277115333324,0
22,1,0,High School,White Collar,Teacher,25000,10.126631103850338,1
33,0,9,Master's,Blue Collar,Welder,45786,10.731733646517688,0
28,1,6,Some College,Blue Collar,Manufacturing Worker,25000,10.126631103850338,0
44,0,22,Some College,Blue Collar,Plumber,78378,11.269298554714618,0
29,0,6,Bachelor's,Blue Collar,Plumber,25000,10.126631103850338,0
23,0,1,Master's,Blue Collar,Plumber,75614,11.233396730208149,1
58,1,33,High School,Blue Collar,Plumber,44985,10.714084379851219,0
37,1,15,Some College,White Collar,Sales Rep,87004,11.373709373591305,1
41,0,19,Master's,Blue Collar,Welder,81449,11.307732336483982,0
23,0,1,Some College,White Collar,Analyst,25000,10.126631103850338,1
33,0,8,High School,Blue Collar,Electrician,25000,10.126631103850338,0
41,0,18,Some College,White Collar,Manager,27740,10.230630693868823,0
26,0,4,Some College,White Collar,Manager,40217,10.602045070788348,0
45,0,23,Master's,Blue Collar,Construction Worker,67872,11.125378857364408,1
33,1,10,Bachelor's,Blue Collar,Manufacturing Worker,25000,10.126631103850338,0
36,0,11,Bachelor's,White Collar,Engineer,112093,11.62708416286432,0
33,0,11,PhD,White Collar,Engineer,82450,11.319947327987745,0
62,0,40,Bachelor's,Blue Collar,Manufacturing Worker,106052,11.571684818843758,0
40,1,15,High School,Blue Collar,Welder,67262,11.116350720207512,0
27,1,5,Some College,White Collar,Manager,74053,11.212536332042088,0
50,1,28,Some College,Blue Collar,Electrician,35488,10.476949890150093,1
25,0,3,High School,White Collar,Engineer,59386,10.991813787335737,1
43,1,21,Master's,Blue Collar,Welder,45763,10.731231183345313,1
22,0,0,Bachelor's,Blue Collar,Welder,73773,11.20874808998925,0
24,1,0,Some College,White Collar,Accountant,44650,10.706609586304646,0
42,1,20,Bachelor's,White Collar,Accountant,65566,11.090812547889174,0
49,1,21,Bachelor's,Blue Collar,Manufacturing Worker,25000,10.126631103850338,1
42,1,20,Master's,White Collar,Programmer,34245,10.441295847632006,0
39,1,12,Master's,White Collar,Consultant,48669,10.792797556078508,1
36,0,14,Bachelor's,White Collar,Programmer,109298,11.60183337573555,1
22,1,0,Bachelor's,Blue Collar,Mechanic,38929,10.569494753143834,0
31,0,8,Bachelor's,White Collar,Analyst,67457,11.119245636829277,0
34,1,10,Bachelor's,White Collar,Consultant,84714,11.34703615623758,1
53,0,30,High School,White Collar,Engineer,110277,11.610750661285666,0
44,0,22,High School,White Collar,Sales Rep,98089,11.493630508787259,0
22,0,0,Bachelor's,Blue Collar,Manufacturing Worker,25000,10.126631103850338,1
44,0,22,Some College,White Collar,Programmer,25000,10.126631103850338,0
35,0,13,High School,White Collar,Engineer,113596,11.64040357338165,0
32,1,6,Bachelor's,Blue Collar,Manufacturing Worker,108958,11.598717765855113,0
47,0,22,High School,White Collar,Accountant,38503,10.558491439318031,0
52,0,30,Bachelor's,Blue Collar,Plumber,27392,10.218006278941468,0
51,1,26,Bachelor's,White Collar,Accountant,114843,11.651321257195779,0
30,0,5,PhD,Blue Collar,Construction Worker,78238,11.267510742009788,0
36,1,14,Bachelor's,White Collar,Manager,71860,11.18247506066751,1
44,1,22,High School,White Collar,Sales Rep,54497,10.905900933264697,0
52,1,27,Bachelor's,White Collar,Programmer,88486,11.390599626391937,0
34,1,12,Master's,White Collar,Sales Rep,50015,10.820078239419281,0
38,0,13,PhD,White Collar,Teacher,87733,11.382053390365874,0
27,1,5,Some College,Blue Collar,Welder,52405,10.866757285604278,1
26,0,4,Some College,White Collar,Teacher,51305,10.84554349229631,0
50,0,28,Master's,White Collar,Accountant,68842,11.139569302779684,1
56,1,34,High School,White Collar,Teacher,91006,11.418680717391366,0
39,0,17,Bachelor's,Blue Collar,Mechanic,44859,10.711279516251953,0
52,1,30,Some College,White Collar,Sales Rep,64224,11.070132251596064,0
44,1,18,High School,White Collar,Teacher,25000,10.126631103850338,0
32,1,10,Some College,White Collar,Analyst,35622,10.48071870349873,0
44,1,22,Some College,Blue Collar,Manufacturing Worker,47048,10.758923636139793,0
58,0,33,Bachelor's,Blue Collar,Manufacturing Worker,34352,10.444415520118563,0
40,0,17,Master's,White Collar,Sales Rep,67997,11.127218865537973,1
59,1,37,Some College,Blue Collar,Manufacturing Worker,28546,10.259272100189714,0
22,0,0,Master's,White Collar,Engineer,112084,11.627003869167778,1
50,1,25,High School,Blue Collar,Mechanic,76543,11.245607953403638,0
41,1,19,Bachelor's,White Collar,Accountant,100993,11.522806486490866,1
36,1,14,High School,Blue Collar,Electrician,25000,10.126631103850338,0
41,0,19,Master's,White Collar,Accountant,82452,11.319971584819076,1
22,0,0,Bachelor's,White Collar,Programmer,65497,11.089759619047705,0
37,0,10,Bachelor's,Blue Collar,Welder,46896,10.755687662950674,0
44,0,22,Master's,Blue Collar,Plumber,58555,10.977721762476238,1
58,1,36,Bachelor's,Blue Collar,Mechanic,57807,10.964865154594012,1
34,0,12,PhD,White Collar,Analyst,128752,11.765643352385913,0
30,0,8,Bachelor's,White Collar,Programmer,30426,10.323052785023075,0
34,0,10,Master's,White Collar,Engineer,133057,11.798532886821958,0
51,1,26,Bachelor's,White Collar,Analyst,80267,11.293113856563991,0
44,1,22,High School,White Collar,Teacher,48081,10.780642367661684,0
34,0,12,Bachelor's,Blue Collar,Manufacturing Worker,79262,11.280514099835102,0
46,0,19,High School,Blue Collar,Welder,25000,10.126631103850338,0
41,0,19,Bachelor's,Blue Collar,Electrician,28404,10.254285259301984,1
52,0,30,Bachelor's,White Collar,Accountant,69363,11.147108863114212,1
32,1,10,Bachelor's,White Collar,Accountant,104257,11.55461428368981,1
36,1,10,High School,Blue Collar,Construction Worker,41365,10.630190391624284,0
35,0,9,High School,White Collar,Manager,55961,10.932410298526829,0
22,0,0,Bachelor's,White Collar,Sales Rep,47761,10.773964685870737,0
44,1,22,PhD,White Collar,Sales Rep,111588,11.622568796266197,1
43,0,21,Some College,Blue Collar,Mechanic,101567,11.528473958216944,0
40,1,18,Some College,Blue Collar,Electrician,68774,11.138581045519855,0
37,0,14,Bachelor's,White Collar,Engineer,67712,11.123018695777917,0
23,0,0,Bachelor's,White Collar,Engineer,87387,11.37810180916176,0
35,0,13,Some College,White Collar,Engineer,71008,11.17054782573232,0
36,1,11,Some College,Blue Collar,Manufacturing Worker,43331,10.676623593166008,0
30,1,8,High School,Blue Collar,Plumber,59628,10.99588054139032,0
38,0,15,PhD,White Collar,Programmer,152117,11.932405240575049,1
45,0,23,High School,White Collar,Analyst,53939,10.895609057404332,0
63,0,41,Some College,White Collar,Sales Rep,80656,11.297948476322413,1
42,0,20,High School,White Collar,Consultant,41424,10.631615701991318,1
43,0,19,High School,Blue Collar,Construction Worker,25000,10.126631103850338,0
39,0,16,Bachelor's,White Collar,Engineer,72405,11.190030636762703,1
22,1,0,High School,White Collar,Programmer,46093,10.738416373637513,0
40,0,18,High School,Blue Collar,Electrician,25000,10.126631103850338,1
41,0,17,Bachelor's,White Collar,Programmer,108193,11.591671948292463,1
65,1,43,High School,Blue Collar,Manufacturing Worker,25000,10.126631103850338,0
38,0,16,High School,Blue Collar,Plumber,100447,11.517385504192315,0
44,1,16,Master's,Blue Collar,Manufacturing Worker,99048,11.503359860100527,0
40,0,18,Bachelor's,Blue Collar,Construction Worker,32364,10.38480197292773,0
26,1,1,Master's,Blue Collar,Construction Worker,62649,11.045302998504885,0
54,1,29,Master's,White Collar,Analyst,112884,11.634116021759953,0
49,1,22,Bachelor's,White Collar,Engineer,53940,10.895627596693721,0
49,1,22,High School,White Collar,Analyst,53215,10.882095590475144,0
29,0,3,Bachelor's,Blue Collar,Manufacturing Worker,44145,10.695234949335683,0
57,1,33,Master's,Blue Collar,Electrician,100295,11.515871122258797,1
23,0,1,Bachelor's,White Collar,Accountant,67727,11.123240197709581,0
47,0,23,Bachelor's,Blue Collar,Manufacturing Worker,25178,10.133725876326205,0
65,0,43,High School,Blue Collar,Construction Worker,47356,10.765448806531527,0
28,1,6,Master's,White Collar,Manager,91967,11.429185096032331,1
33,0,11,Bachelor's,White Collar,Sales Rep,69549,11.149786819103003,1
41,1,19,PhD,White Collar,Manager,85001,11.350418300109132,0
34,1,8,High School,White Collar,Sales Rep,70542,11.163963556095796,0
22,1,0,High School,Blue Collar,Manufacturing Worker,25000,10.126631103850338,0
41,1,19,High School,White Collar,Analyst,56739,10.946217083956563,1
27,0,0,Bachelor's,Blue Collar,Welder,83432,11.33178720780105,1
46,0,21,High School,White Collar,Consultant,33652,10.423827768670705,0
29,0,6,High School,Blue Collar,Manufacturing Worker,34861,10.459124004835836,0
59,0,34,PhD,White Collar,Programmer,107295,11.583337329210593,1
31,0,9,High School,Blue Collar,Electrician,67317,11.117168084031912,0
36,0,12,Master's,White Collar,Programmer,91798,11.427345789878878,0
50,0,28,Some College,White Collar,Sales Rep,86854,11.3719838270278,1
25,1,3,Master's,White Collar,Accountant,78734,11.273830361441949,1
43,1,21,Bachelor's,White Collar,Programmer,50343,10.826614861669272,0
56,0,34,Master's,White Collar,Engineer,121493,11.707611926934314,0
22,1,0,Master's,White Collar,Accountant,71883,11.182795076253608,0
42,0,18,High School,White Collar,Teacher,49622,10.812189562761608,0
43,0,19,High School,White Collar,Manager,25000,10.126631103850338,0
49,1,27,Some College,White Collar,Manager,61637,11.02901761855464,0
25,0,3,Bachelor's,White Collar,Manager,59778,10.99839297927291,0
24,0,2,Master's,White Collar,Sales Rep,53017,10.878367895820443,0
46,1,19,Bachelor's,White Collar,Accountant,60391,11.0085953661978,0
44,1,20,Bachelor's,White Collar,Accountant,56251,10.937579097686422,0
43,1,21,High School,White Collar,Manager,50690,10.833483931466395,1
44,1,22,Master's,White Collar,Teacher,49265,10.804969168756575,0
32,1,10,PhD,Blue Collar,Welder,90991,11.41851587950905,1
43,0,17,Some College,White Collar,Analyst,79334,11.281422067311539,0
44,0,22,Bachelor's,White Collar,Sales Rep,94093,11.452038933858548,0
31,0,9,High School,White Collar,Consultant,60956,11.01790757140975,1
62,0,40,Bachelor's,White Collar,Consultant,97168,11.484196718137357,1
46,1,23,Bachelor's,Blue Collar,Construction Worker,86528,11.368223339962581,1
26,0,4,High School,White Collar,Programmer,99678,11.509700269614534,0
48,1,26,Some College,White Collar,Teacher,57210,10.954483987262574,0
28,1,6,Some College,White Collar,Consultant,28663,10.263362371409995,1
49,1,27,Bachelor's,Blue Collar,Manufacturing Worker,70033,11.156721838515388,0
54,1,32,Bachelor's,White Collar,Analyst,61177,11.021526580870049,0
30,1,0,High School,White Collar,Manager,63892,11.064949436909847,1
52,0,30,Bachelor's,Blue Collar,Plumber,115307,11.655353415602505,0
45,1,23,Bachelor's,Blue Collar,Manufacturing Worker,74278,11.215570089956065,0
50,0,27,Some College,Blue Collar,Construction Worker,59082,10.986681588475857,1
63,1,41,High School,White Collar,Analyst,55993,10.932981961904135,0
37,0,13,Bachelor's,Blue Collar,Welder,113378,11.638482647927333,1
31,1,8,PhD,Blue Collar,Electrician,70545,11.164006083047258,1
29,1,7,High School,White Collar,Accountant,31163,10.346986772628886,0
30,0,6,Some College,Blue Collar,Electrician,33556,10.420970963966186,0
39,0,15,High School,Blue Collar,Electrician,25000,10.126631103850338,1
44,1,22,Bachelor's,White Collar,Teacher,60111,11.003948132061856,1
43,0,21,High School,White Collar,Programmer,44106,10.694351106602143,0
50,1,28,Some College,White Collar,Engineer,46288,10.742638027215916,0
40,1,14,Bachelor's,White Collar,Teacher,37906,10.542864689886246,0
57,0,33,Bachelor's,White Collar,Analyst,131860,11.78949603266729,1
37,0,13,Some College,White Collar,Accountant,71952,11.18375450901049,0
65,0,43,Some College,Blue Collar,Mechanic,76379,11.243463068261226,0
48,1,26,Bachelor's,Blue Collar,Construction Worker,81706,11.310882717564038,1
30,0,8,High School,White Collar,Engineer,99123,11.504116782188833,1
27,1,0,High School,Blue Collar,Construction Worker,25000,10.126631103850338,0
46,0,24,Master's,White Collar,Engineer,51340,10.84622545442513,0
37,1,15,High School,White Collar,Engineer,42228,10.650838787109585,0
49,1,27,Bachelor's,Blue Collar,Manufacturing Worker,55374,10.921865448493632,0
46,1,24,Master's,Blue Collar,Electrician,66876,11.110595437357537,0
39,0,17,Some College,Blue Collar,Mechanic,46779,10.753189663252995,0
30,1,8,Some College,White Collar,Accountant,54112,10.898811251698307,1
22,1,0,Bachelor's,White Collar,Sales Rep,62782,11.0474236871679,0
35,1,13,Master's,White Collar,Accountant,67770,11.12387489813016,0
50,1,28,Master's,Blue Collar,Manufacturing Worker,25000,10.126631103850338,0
43,0,21,Bachelor's,White Collar,Analyst,68483,11.134340818267278,1
25,0,3,High School,White Collar,Analyst,32455,10.387609793467568,0
42,1,20,Bachelor's,Blue Collar,Mechanic,49613,10.812008175145854,0
45,0,19,Some College,White Collar,Accountant,33266,10.41229113335048,1
29,1,3,Bachelor's,White Collar,Consultant,54624,10.908228625594168,1
42,1,20,High School,Blue Collar,Plumber,25000,10.126631103850338,0
41,0,19,High School,White Collar,Engineer,30239,10.316887760963617,0
26,1,2,Bachelor's,Blue Collar,Manufacturing Worker,25000,10.126631103850338,1
44,0,22,Bachelor's,White Collar,Sales Rep,60849,11.016150664426897,1
47,1,25,Some College,Blue Collar,Manufacturing Worker,25000,10.126631103850338,1
53,1,31,Some College,White Collar,Manager,61779,11.031318779873457,1
53,1,28,Master's,White Collar,Consultant,53484,10.887137822734557,0
23,0,1,Bachelor's,White Collar,Engineer,94494,11.456291619402636,0
29,0,5,Some College,White Collar,Programmer,71123,11.172166051525362,0
46,1,23,High School,White Collar,Sales Rep,45046,10.715439468861323,0
46,1,23,Some College,White Collar,Sales Rep,30009,10.30925261565329,1
46,1,23,Master's,White Collar,Analyst,111753,11.62404635775306,1
65,0,39,Bachelor's,White Collar,Engineer,142026,11.863765418414445,1
47,0,25,Bachelor's,White Collar,Accountant,88989,11.396268045570105,1
54,0,30,Bachelor's,White Collar,Engineer,155170,11.95227656907753,0
51,1,20,Some College,White Collar,Analyst,58467,10.976217771490134,0
48,0,26,Master's,White Collar,Analyst,104588,11.557784101278456,0
36,0,14,Bachelor's,White Collar,Engineer,71117,11.17208168707087,0
49,1,26,High School,Blue Collar,Manufacturing Worker,61534,11.027345146560275,0
31,0,9,High School,Blue Collar,Plumber,25000,10.126631103850338,0
37,1,11,Bachelor's,Blue Collar,Manufacturing Worker,38604,10.561111177027026,0
34,1,12,Master's,White Collar,Manager,101390,11.526729745946625,0
41,1,19,Some College,Blue Collar,Mechanic,63360,11.056588026488308,0
65,0,43,Master's,White Collar,Programmer,86089,11.36313692383358,0
22,0,0,Bachelor's,White Collar,Analyst,93010,11.440462293236513,0
48,1,26,High School,Blue Collar,Manufacturing Worker,25000,10.126631103850338,0
22,1,0,High School,White Collar,Accountant,25000,10.126631103850338,0
34,1,11,High School,Blue Collar,Welder,37149,10.522692131883208,0
